X,Y,V,P,T,Z,S
Peter ,Schapelle Corby,masticating,Wynyard Station,in the Renaissance,SpongeBob SquarePants,Good Lord! I have never seen such a thorough job done in my ENTIRE LIFE! That is extraordinary! VERY well done!
Brayden ,John Howards bushy eyebrows,stealing lunch money,Gladys and Daryls sex shack,a long time ago in a galaxy far far away,Young and Sexy Andrew,What are ye doing in my swamp?
Tobias ,Mr Potatohead,washing,in the shire,at full moon,Luke Skywalker,"Oh, He is my father!"
Colin ,Joan of Ark,baking,on the beach,in the future,Darth Vader,I would not put that there!
Andrew ,Gladys Berejiklian,screaming,Colins House,at dinner time,Brayden ,I immediately updated MySpace page!
Rory ,Gina Rinehart,escaping,The very top of the antenna on top of the Burj Khalifa,at the end of the universe,Clive Palmer,"My God!, that is actually very very small."
Majella ,Gladys,pick pocketing,in the toilets of the Allianz parking lot,just after sunset,Taylor Swift,is there room for me too? because watching that makes me feel cold and I want to be as close to that as possible.
Josh ,Red Bird,fornicating,Buckingham Palace male toilets,Exacly at 04 22 AM,Prince Andrew,imagine what the spider Kama Sutra is like with all those legs.
blank,blank,blank,blank,blank,blank,blank
Sarah ,Tom Cruise,kickboxing,Ice hotel in Sweden,in the midnight,Jonny Depp,no one puts baby in the corner
Kaavya,Beyonce,singing,concert,on Friday,Taylor Swift,so supportive
Kaavya,elsa,researching,edison machine works,on Sunday,Thomas Edison,you wont be remembered!
Eliza,Scott on,gambling,in the break out area at El,at 4 00 AM,David Attenborough,How did you know?!
Kris ,Gladys Berejiklian,holding hands and staring lovingly into each others eyes,in the park,at the sunset,Colin ,Ah young Love
Jeffrey ,Barack Obama,drowning,on top of a whale,at 3 30 AM,Roger Federer,have you been vaccinated yet?
Nima ,John the Baptist,wearing makeup,inside a box,on the September 11th 2001 at 8 30 AM,Charlie Chaplin,Oh that is impressive! Can I try that please?
Shihan ,Scott on,Rapping hiphop music,in the library,at 12 30 PM,a premier,It is very important that we support people to do the right thing and that no one has to make the choice between protecting the community and feeding their family.
Nima ,Harry Potter,tickling each other,on the Mars were Perseverance landed,just yesterday,Mahatma Gandhi,you are doing so well but why here?!